發生時間,發生地點,死亡人數,車種
110年01月27日 11時12分00秒,新竹市東區研新一路與研新四路,1,普通重型-機車;普通重型-機車;乘客-人
110年01月27日 11時12分08秒,苗栗縣苗栗市國華路1212號前,1,營業用-曳引車;普通重型-機車;自用-小客車
110年01月27日 11時13分28秒,苗栗縣竹南鎮苗3線電線桿(尖筆幹86AD8671BB36)附近,1,自用-小客車;自用-小客車;乘客-人;乘客-人
110年01月27日 11時57分00秒,彰化縣北斗鎮中寮里斗苑路2段 / 彰化縣北斗鎮中寮里光前路,1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人
110年01月27日 17時17分24秒,雲林縣元長鄉雲169鄉道與中山路9巷路口,1,自用-小客車;普通重型-機車
110年01月28日 08時15分00秒,高雄市路竹區順安路 / 高雄市路竹區無名路,1,普通重型-機車;普通重型-機車
110年01月28日 10時07分00秒,嘉義縣朴子市竹村里台19線87.2公里與產業道路口,1,自用-大貨車;普通重型-機車
110年01月28日 15時16分25秒,臺南市新市區國道8號 9公里400.0公尺處西側向交流道,1,營業用-半聯結車
110年01月28日 15時55分00秒,宜蘭縣員山鄉內城村員山路2段東側 / 宜蘭縣員山鄉內城村惠民路北側,1,自用-大貨車;普通重型-機車;乘客-人
110年01月29日 05時52分00秒,新北市五股區新北市五股區疏洪一路與疏洪六路,1,普通重型-機車
110年01月29日 09時12分00秒,彰化縣秀水鄉鶴鳴村馬鳴路 / 彰化縣秀水鄉鶴鳴村彰鹿路,1,自用-小客車;普通重型-機車;普通重型-機車
110年01月29日 11時24分00秒,臺北市北投區福國路前0.0公尺,1,普通重型-機車;營業用-曳引車;自用-小貨車(含客、貨兩用)
110年01月29日 16時12分30秒,屏東縣萬丹鄉廣安村萬丹路2段口 / 屏東縣萬丹鄉廣安村廣維路口,1,營業用-曳引車;普通重型-機車
110年01月29日 18時39分33秒,苗栗縣竹南鎮台61線 93.6公里南側向機、慢車道,1,營業用-曳引車;普通重型-機車
110年01月30日 02時22分00秒,新北市三芝區新北市三芝區淡金公路(四棧橋39-1號),2,自用-小客車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);其他人-人;自用-小貨車(含客、貨兩用);乘客-人
110年01月30日 11時55分50秒,苗栗縣苑裡鎮東西七路與南北二路路口,1,普通重型-機車;自用-小客車
110年01月30日 19時32分00秒,新北市泰山區新北市泰山區大科路686之2號,1,普通重型-機車;普通重型-機車;自用-小客車
110年01月31日 00時19分00秒,臺中市和平區達觀里東崎街1段前0.0公尺,1,自用-小客車;行人-人
110年01月31日 09時26分00秒,新北市樹林區新北市樹林區大安路與長壽街,1,普通重型-機車;自用-小客車
110年01月31日 13時22分31秒,花蓮縣花蓮市中正路與新興路口以北70公尺處外側路沿,1,普通重型-機車
110年01月31日 14時00分32秒,新竹縣芎林鄉富林路一段與五和街口附近,1,自用-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人
110年01月31日 22時49分00秒,高雄市大寮區國華街 / 高雄市大寮區無名路,1,自用-小客車;普通重型-機車
110年02月01日 05時32分00秒,南投縣埔里鎮中山路四段62號前,1,普通重型-機車
110年02月01日 13時37分00秒,新北市樹林區新北市樹林區三俊街與俊興街,1,自用-小貨車(含客、貨兩用);普通重型-機車
110年02月01日 16時25分06秒,嘉義縣民雄鄉秀林村溪底寮82號前,1,營業用-曳引車;普通重型-機車
110年02月01日 20時53分53秒,臺南市仁德區大發路58號前0.0公尺,1,普通重型-機車
110年02月01日 23時52分00秒,臺南市安南區台江大道2段201號,6,自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人
110年02月02日 00時26分00秒,花蓮縣吉安鄉慶豐四街口 / 花蓮縣吉安鄉慶南三街口,1,自用-小客車;普通重型-機車
110年02月02日 07時53分00秒,雲林縣斗南鎮延平路二段與莒光街口,1,腳踏自行車-慢車;自用-小貨車(含客、貨兩用)
110年02月02日 08時05分00秒,苗栗縣苑裡鎮舊社里苗130線與德行路口,1,自用-小客車;普通重型-機車
110年02月02日 08時44分00秒,臺北市士林區中山北路5段前0.0公尺,1,普通重型-機車;行人-人
110年02月02日 12時12分00秒,高雄市楠梓區德民路 / 高雄市楠梓區德民路,1,普通重型-機車;行人-人
110年02月03日 01時08分03秒,苗栗縣竹南鎮台61線93.7公里處北上慢車道,1,營業用-曳引車;普通重型-機車
110年02月03日 02時45分00秒,臺南市麻豆區南勢里南勢87之2號,1,普通重型-機車
110年02月03日 08時36分00秒,臺北市士林區承德路4段277巷前0.0公尺,1,自用-小貨車(含客、貨兩用);行人-人
110年02月03日 09時30分00秒,臺中市沙鹿區鹿峰里中清路七段北側 / 臺中市沙鹿區鹿峰里三民路,1,自用-大貨車;自用-小客車;營業用-半聯結車
110年02月03日 18時51分00秒,屏東縣崁頂鄉港東2號橋往南防汛道路旁水溝(台電電桿后廍90R41L9T3182EA20),1,普通輕型-機車
110年02月04日 09時17分00秒,嘉義縣中埔鄉富收村富裕路128號前0.0公尺附近,1,普通重型-機車
110年02月04日 11時14分00秒,高雄市岡山區成功路 / 高雄市岡山區成功路,1,自用-小貨車(含客、貨兩用);普通重型-機車
110年02月04日 12時46分00秒,嘉義縣義竹鄉溪州村台19線91.45公里,1,自用-小貨車(含客、貨兩用)
110年02月04日 14時34分00秒,嘉義縣大林鎮國道1號 251公里500.0公尺處北側向內側,1,自用-小客車;乘客-人;乘客-人;乘客-人
110年02月04日 18時40分00秒,臺南市玉井區台3線 371公里500.0公尺處西側向外側,1,自用-小客車;行人-人
110年02月04日 18時56分58秒,新竹縣湖口鄉國道1號 84公里700.0公尺處北側向外側,1,行人-人;民營公車-大客車
110年02月04日 19時12分52秒,桃園市八德區廣興路641號前0.0公尺附近,1,普通重型-機車;行人-人
110年02月05日 07時03分00秒,臺南市佳里區南47 2公里500.0公尺處,1,普通重型-機車
